Wavelength,R,G,B
380,1.27541E-09,0.004041255,0.546074427
381,1.44928E-09,0.00431784,0.558109555
382,1.64619E-09,0.00461151,0.570181812
383,1.86912E-09,0.004923183,0.58228224
384,2.12138E-09,0.005253819,0.594401656
385,2.40672E-09,0.005604418,0.60653066
386,2.72936E-09,0.005976023,0.618659648
387,3.094E-09,0.006369719,0.630778821
388,3.50597E-09,0.006786635,0.642878198
389,3.97119E-09,0.007227949,0.65494763
390,4.49635E-09,0.007694881,0.666976811
391,5.08892E-09,0.008188701,0.67895529
392,5.75728E-09,0.008710727,0.690872491
393,6.51082E-09,0.009262327,0.702717723
394,7.36004E-09,0.009844917,0.714480195
395,8.3167E-09,0.010459967,0.726149037
396,9.39395E-09,0.011108997,0.737713309
397,1.06065E-08,0.01179358,0.749162023
398,1.19707E-08,0.012515342,0.760484157
399,1.35051E-08,0.013275965,0.771668674
400,1.523E-08,0.014077183,0.782704538
401,1.71683E-08,0.014920786,0.793580734
402,1.93456E-08,0.015808619,0.804286283
403,2.17903E-08,0.016742582,0.814810262
404,2.45341E-08,0.017724631,0.825141824
405,2.76124E-08,0.01875678,0.835270211
406,3.10645E-08,0.019841095,0.845184781
407,3.49342E-08,0.020979699,0.854875017
408,3.92702E-08,0.022174773,0.864330552
409,4.41267E-08,0.023428548,0.873541186
410,4.95641E-08,0.024743313,0.882496903
411,5.56491E-08,0.02612141,0.891187889
412,6.24562E-08,0.027565232,0.899604551
413,7.0068E-08,0.029077227,0.907737535
414,7.8576E-08,0.03065989,0.915577743
415,8.80818E-08,0.032315768,0.923116346
416,9.86981E-08,0.034047455,0.930344808
417,1.1055E-07,0.035857591,0.937254896
418,1.23775E-07,0.03774886,0.943838696
419,1.38527E-07,0.03972399,0.950088634
420,1.54975E-07,0.041785746,0.955997482
421,1.73307E-07,0.043936934,0.961558378
422,1.9373E-07,0.046180391,0.966764838
423,2.16473E-07,0.048518991,0.971610767
424,2.41789E-07,0.050955631,0.976090472
425,2.69958E-07,0.053493239,0.980198673
426,3.01288E-07,0.056134763,0.983930514
427,3.36119E-07,0.058883168,0.987281572
428,3.74827E-07,0.061741436,0.990247864
429,4.17826E-07,0.064712558,0.992825858
430,4.65572E-07,0.067799531,0.995012479
431,5.18565E-07,0.071005354,0.996805115
432,5.7736E-07,0.074333021,0.998201619
433,6.42564E-07,0.077785519,0.99920032
434,7.14845E-07,0.08136582,0.99980002
435,7.94939E-07,0.085076877,1
436,8.83654E-07,0.088921617,0.99980002
437,9.81877E-07,0.092902939,0.99920032
438,1.09058E-06,0.0970237,0.998201619
439,1.21084E-06,0.101286717,0.996805115
440,1.34381E-06,0.105694756,0.995012479
441,1.4908E-06,0.110250525,0.992825858
442,1.6532E-06,0.11495667,0.990247864
443,1.83255E-06,0.119815766,0.987281572
444,2.03056E-06,0.124830308,0.983930514
445,2.24906E-06,0.130002708,0.980198673
446,2.49007E-06,0.135335283,0.976090472
447,2.75581E-06,0.140830252,0.971610767
448,3.04869E-06,0.146489723,0.966764838
449,3.37134E-06,0.152315691,0.961558378
450,3.72665E-06,0.158310023,0.955997482
451,4.11777E-06,0.164474457,0.950088634
452,4.5481E-06,0.17081059,0.943838696
453,5.02141E-06,0.17731987,0.937254896
454,5.54175E-06,0.184003592,0.930344808
455,6.11357E-06,0.190862883,0.923116346
456,6.74169E-06,0.197898699,0.915577743
457,7.43137E-06,0.205111817,0.907737535
458,8.18833E-06,0.212502824,0.899604551
459,9.01879E-06,0.220072113,0.891187889
460,9.9295E-06,0.227819871,0.882496903
461,1.09278E-05,0.235746077,0.873541186
462,1.20217E-05,0.243850487,0.864330552
463,1.32197E-05,0.252132635,0.854875017
464,1.45314E-05,0.260591821,0.845184781
465,1.59668E-05,0.269227105,0.835270211
466,1.7537E-05,0.2780373,0.825141824
467,1.92538E-05,0.28702097,0.814810262
468,2.11304E-05,0.296176417,0.804286283
469,2.31805E-05,0.30550168,0.793580734
470,2.54193E-05,0.314994532,0.782704538
471,2.78633E-05,0.324652467,0.771668674
472,3.053E-05,0.334472706,0.760484157
473,3.34386E-05,0.344452183,0.749162023
474,3.66096E-05,0.354587549,0.737713309
475,4.00653E-05,0.364875164,0.726149037
476,4.38297E-05,0.375311099,0.714480195
477,4.79285E-05,0.385891128,0.702717723
478,5.23897E-05,0.396610733,0.690872491
479,5.72433E-05,0.407465098,0.67895529
